sample,FP1,FP2,T7,T8,P7,P8,O1,Oz,O2
158,81.70752,-83.20703,135.85742,5.756836,104.46814,41.850098,-20.815928,-47.66794,-27.765137
159,70.22485,-86.51929,125.12305,-5.786133,98.69165,33.40381,-23.153606,-49.723175,-28.208252
160,77.00928,-74.12036,135.6875,11.96875,107.49426,39.93164,13.468353,-24.398102,2.567871
161,85.99609,-73.84717,140.43555,29.171875,104.36084,51.7417,22.839878,-19.220337,13.294434
162,85.87622,-75.637695,147.26855,27.080078,117.33423,60.371094,5.2405205,-25.144196,-1.4204102
163,79.86914,-84.67969,147.74023,9.7109375,117.6178,58.538574,-12.298918,-35.169373,-11.705566
164,80.85083,-79.56128,141.73535,1.6640625,114.81055,40.95752,0.6631584,-30.191376,-6.8393555
165,86.57056,-74.27124,146.56543,8.295898,115.87988,33.020996,21.242733,-23.001343,1.5898438
166,84.18408,-77.11792,134.7832,19.582031,106.46777,49.757324,13.694504,-20.133087,1.309082
167,92.49829,-70.51245,136.63477,17.835938,106.42297,52.23877,-12.427855,-33.62558,-9.998779
168,82.04419,-75.76538,141.85254,8.8203125,114.081055,47.44922,-13.868317,-32.319885,-8.860352
169,79.46924,-72.75488,146.5,15.015625,117.78772,40.412598,13.955917,-19.961731,10.866455
170,83.63013,-76.71777,152.35254,20.838867,116.776245,35.427246,19.402306,-24.956757,6.166748
171,92.03516,-71.87695,153.0918,20.123047,117.93921,49.632324,4.6352463,-25.03476,-2.239746
172,89.40015,-77.85254,132.3789,5.705078,106.60889,43.635254,-23.749477,-45.134583,-23.200928
173,98.430664,-62.463135,137.83105,12.097656,108.23523,42.56787,-8.905901,-39.444855,-10.843506
174,88.66333,-66.37695,149.89551,21.984375,121.29578,37.856934,17.808334,-24.730988,6.39917
175,85.27783,-76.680664,143.14844,14.4765625,111.59338,32.03174,10.781273,-27.536041,-3.631836
176,87.95337,-72.515625,139.8711,10.067383,107.53186,41.188477,-20.266401,-45.65448,-24.82959
177,75.70947,-80.41455,136.56055,-1.5419922,105.3241,26.875977,-27.19556,-57.05896,-40.651123
178,69.729004,-79.23657,132.30371,-8.745117,105.02844,14.765137,-2.1373978,-40.13974,-17.694824
179,92.74414,-55.135986,147.69727,18.722656,116.614746,33.60791,26.3233,-12.515167,13.078125
180,88.50049,-70.64917,139.71973,12.930664,104.746704,33.52588,-5.5981255,-39.58435,-15.050049
181,85.21875,-73.14111,143.94824,3.6894531,107.51355,37.823242,-26.319794,-49.032288,-29.161377
182,75.84595,-79.11694,136.48828,-6.4375,104.856445,29.714844,-21.597363,-47.445038,-24.76123
183,75.549805,-76.32202,141.98047,-0.82714844,113.012085,19.677246,9.431797,-36.24817,-8.696289
184,70.390625,-86.91675,138.49316,3.6826172,108.00781,19.110352,14.94783,-37.018036,-15.377197
185,78.67505,-77.36743,141.38867,10.172852,107.4668,36.708496,-13.189011,-39.40564,-24.784424
186,73.7146,-83.533936,135.99512,-11.322266,101.305176,31.089355,-33.185997,-53.667297,-30.131348
187,79.41089,-70.65576,145.81348,-3.0449219,112.392944,25.086426,-4.8140545,-35.140076,-8.299072
188,81.98169,-67.16431,144.01074,15.97168,114.80493,34.126465,19.444145,-18.748016,7.1379395
189,74.59741,-82.56201,141.52344,15.918945,110.34082,36.185547,4.495693,-27.771881,-10.658936
190,80.78076,-78.76367,134.91895,12.469727,101.34436,33.026367,-29.204071,-48.30359,-37.419678
191,79.86621,-75.66211,136.03516,7.0126953,107.238525,38.348145,-24.119564,-42.611725,-19.942871
192,80.84741,-69.032715,138.96289,14.545898,110.058105,39.16162,7.222416,-28.200134,3.8220215
193,84.63623,-69.29077,143.72754,24.59375,111.01843,35.415527,13.969543,-24.843384,1.1591797
194,84.53735,-76.517334,142.46582,24.579102,105.17517,41.930664,-7.646166,-34.892487,-15.855957
195,91.79004,-68.45459,142.14062,18.816406,108.395996,47.74756,-24.623587,-39.6102,-19.536621
196,93.32178,-57.640137,139.35352,11.174805,108.96338,38.70117,-8.13653,-33.7995,-11.055908
197,86.170166,-61.3125,152.74902,30.501953,120.29309,49.52881,31.397373,-4.0699463,20.609863
198,71.21973,-83.64502,136.90527,12.676758,102.66113,36.56836,6.0110397,-26.178864,-3.2185059
199,82.77124,-74.37427,139.41016,16.879883,102.52832,51.68701,-23.786343,-38.273285,-13.350098
200,91.77197,-59.02832,140.78906,20.338867,109.362305,53.32129,-16.912163,-32.5307,-7.2907715
201,75.21655,-72.33838,135.67578,3.3359375,99.82495,19.929688,-2.1021156,-35.78952,-13.006836
202,77.90161,-75.456055,133.30371,11.536133,94.881226,18.136719,1.655468,-40.87021,-16.50293
203,81.82031,-75.417725,131.39941,14.900391,96.77051,34.847168,-19.184149,-51.310486,-25.497803
204,79.12622,-78.08667,134.8252,13.255859,99.89148,43.70703,-29.364975,-52.298462,-26.583496
205,65.674805,-83.71533,131.73828,9.479492,100.11841,37.421387,-14.54516,-41.26767,-15.003662
206,80.13721,-65.77124,146.22266,19.29004,112.82605,39.90088,21.595509,-17.770355,7.3830566
207,87.232666,-65.678955,141.0459,30.097656,102.66992,43.254395,3.0986443,-32.25168,-1.5727539
208,86.02368,-65.5105,133.5586,24.125977,92.69336,41.26465,-33.08019,-55.0701,-31.603271
209,88.36621,-62.741943,138.4707,13.767578,104.50842,41.7041,-27.860415,-47.397736,-22.79126
210,81.2937,-64.47632,137.85352,11.478516,102.03357,40.049805,-5.2232666,-34.503357,1.2558594
211,84.20923,-68.14453,145.79102,16.663086,108.38953,36.195312,12.626743,-29.16092,2.8032227
212,87.50342,-69.726074,137.52637,12.198242,98.66736,35.569336,-14.092184,-47.247437,-17.863525
213,93.64844,-61.03247,136.37598,11.636719,96.11548,43.34326,-35.317204,-53.934814,-29.042236
214,97.66333,-54.46338,135.67773,17.137695,100.71509,46.65625,-19.234215,-42.095886,-8.135742
215,91.99707,-52.68994,139.92773,17.442383,104.86047,32.50879,7.647129,-25.842834,4.048584
216,85.94092,-66.19653,128.1836,7.6523438,95.96167,17.76416,-2.8498192,-41.581696,-15.430664
217,86.08594,-71.29956,126.009766,4.7734375,102.69092,33.549316,-22.150887,-45.38382,-25.30957
218,88.20825,-56.771973,127.65723,16.032227,99.8551,49.161133,-29.953562,-49.321075,-22.374512
219,111.93164,-31.465576,145.95898,28.71289,114.27185,55.129883,4.905216,-21.717804,8.084961
220,95.05151,-48.54297,141.35156,17.37793,101.43945,34.80371,10.149166,-25.66214,6.3581543
221,97.783936,-55.97754,142.4668,17.685547,101.25769,33.416992,-11.63625,-43.29065,-16.610107
222,90.714355,-63.01465,131.71387,3.5625,91.77173,28.495117,-46.292114,-63.776886,-41.043457
223,92.98242,-57.68872,135.62598,3.868164,101.42102,31.75879,-22.979475,-41.483124,-20.376953
224,91.83569,-58.476074,136.78613,5.1933594,97.64319,22.717285,-4.9823494,-39.127777,-10.047363
225,95.8418,-52.63208,136.30273,11.2109375,87.74109,21.822754,-12.297625,-48.49518,-13.13623
226,98.4126,-55.453857,131.70996,13.53418,85.520996,25.824219,-36.093754,-60.16513,-36.927002
227,80.836426,-68.918945,122.34668,1.6669922,86.78821,29.149902,-41.29358,-54.01288,-35.14966
228,72.791016,-74.117676,130.01367,-6.7246094,84.78992,14.085449,-29.017807,-48.745117,-22.801758
229,80.40552,-66.05298,136.9209,16.111328,93.41504,29.480469,-1.0650215,-33.897858,-0.68725586
230,75.67163,-74.7395,125.54883,16.603516,77.65515,24.12793,-27.90898,-57.510315,-26.981934
231,81.89868,-70.62964,121.17285,18.375977,79.65454,34.61084,-47.56812,-61.122955,-35.19336
232,73.97485,-70.0376,119.89258,6.6308594,88.0813,30.200195,-32.52313,-47.221283,-24.002686
233,68.80493,-77.23926,112.4707,-5.3671875,77.86157,7.1953125,-21.900955,-49.33554,-21.222656
234,73.02734,-70.11279,123.90332,15.239258,81.787964,17.428223,-11.47616,-45.30484,-15.100098
235,80.61084,-67.015625,127.04004,23.699219,86.17102,34.118164,-29.13758,-54.80493,-23.716797
236,78.19849,-68.25,119.20801,5.8632812,81.413574,25.623047,-50.306934,-68.95987,-46.208496
237,76.63403,-66.75464,114.78906,3.225586,78.192505,22.074219,-39.502506,-61.236298,-29.89795
238,80.29224,-60.970947,124.96484,17.367188,86.03735,28.222656,-9.543577,-45.180786,-11.682861
239,78.89868,-72.55591,125.953125,14.3203125,86.04419,28.484863,-16.696218,-44.026276,-15.934082
240,78.534424,-74.52417,122.51465,4.2783203,78.83667,20.519531,-53.286873,-66.828186,-46.276367
