sample,FP1,FP2,T7,T8,P7,P8,O1,Oz,O2
78,121.06006,-30.51831,164.69531,-20.154297,86.160034,32.564453,114.04497,1.1899109,30.611328
79,137.19849,-26.101807,164.59375,-9.770508,77.58215,51.98828,98.67589,-2.3232117,32.008545
80,128.54102,-35.683594,155.29395,-23.13086,70.720825,47.8125,59.362034,-27.54602,11.369385
81,116.3772,-41.91992,156.14941,-37.16797,78.11987,41.82617,61.19617,-28.638,13.303955
82,116.923584,-45.270752,165.32617,-41.48633,87.898926,21.02539,90.04381,-23.272705,16.309082
83,124.70093,-36.603516,167.02051,-24.311523,93.05066,28.419434,114.47864,-2.7711792,22.576416
84,141.97192,-24.341309,165.51758,-19.52832,77.1488,33.381836,78.41908,-23.697937,-5.0458984
85,132.88354,-29.031982,157.94922,-14.344727,79.16687,67.87012,66.03946,-15.694977,20.0354
86,131.219,-27.203613,161.04492,-20.35254,85.704346,65.89258,83.234055,-1.4202576,41.78784
87,132.88696,-30.868652,165.14746,-22.88379,89.81445,42.924805,107.323456,-3.8149414,37.38965
88,136.39941,-33.364258,166.97461,-18.279297,88.63916,37.88037,104.78691,-8.2836,22.428467
89,139.56592,-26.090088,163.30957,-19.097656,75.77246,31.86084,60.030674,-33.424774,-14.040039
90,151.86719,-13.135498,167.25098,-20.408203,76.525024,28.065918,47.9555,-46.33432,-23.287598
91,147.41748,-15.586426,161.75195,-19.288086,75.86743,32.085938,73.83142,-25.604462,16.441406
92,130.96216,-35.625732,164.47363,-16.010742,82.35425,48.91211,103.415436,-5.3556824,41.568604
93,127.57251,-45.61914,155.875,-32.838867,77.362915,39.987305,79.93149,-28.923767,9.769287
94,129.50732,-43.388184,163.54395,-28.28418,92.08789,50.479004,72.798416,-23.091583,4.5615234
95,121.15259,-47.811035,155.43555,-43.588867,73.515625,22.684082,60.047398,-32.753113,-4.8569336
96,133.46533,-30.113525,165.54395,-27.61621,76.884155,17.246582,77.58731,-25.163605,5.540283
97,152.69849,-19.805176,170.46094,-19.166992,72.47595,11.603516,63.992588,-39.087708,-8.902588
98,137.66724,-41.3291,157.95898,-29.91504,70.45361,37.17627,50.24809,-47.50763,-4.8811035
99,129.58423,-46.42334,151.85156,-39.28418,80.406494,52.27295,64.76305,-30.55371,8.471436
100,122.53418,-52.487793,164.875,-35.64258,103.03235,58.50244,121.6452,11.129883,49.28882
101,121.31714,-56.588867,154.6543,-43.078125,80.03125,25.379395,109.87344,-2.5361938,31.756104
102,123.285645,-60.548096,151.95898,-50.208984,60.62329,4.0249023,53.541615,-47.01599,-21.64624
103,139.12329,-39.06836,156.84668,-36.75,59.058105,4.319336,8.108929,-77.13287,-55.50122
104,144.70557,-31.289062,159.34473,-46.17383,54.925537,-2.5605469,10.348232,-74.16403,-44.475586
105,150.41455,-26.199463,167.6582,-27.243164,81.23364,27.659668,85.48547,-18.384644,23.126465
106,137.43018,-47.329346,166.2627,-25.115234,90.579834,49.236816,115.6857,7.1334534,47.35742
107,134.80615,-54.87744,148.53418,-32.42383,83.51428,46.26758,87.962814,-12.113678,21.929688
108,132.41187,-59.4563,151.58691,-54.58789,74.743286,31.588867,56.36308,-30.91623,-5.467041
109,140.30713,-46.94922,159.18848,-56.890625,70.599976,10.936523,51.639263,-46.69763,-13.6328125
110,147.80981,-36.13159,163.95312,-45.2959,65.39197,-9.319824,46.794254,-54.436462,-21.474121
111,156.5398,-33.9104,171.58105,-29.734375,77.53003,17.251953,55.31941,-42.63388,-13.133057
112,153.41211,-38.219727,165.38672,-28.185547,84.26245,50.72168,68.876114,-19.323547,12.277588
113,139.56934,-35.99463,153.62695,-30.501953,85.05823,56.823242,81.38823,-3.6016846,30.021484
114,135.46313,-36.570557,168.02832,-29.873047,100.52344,56.29541,120.3465,15.276764,54.480957
115,140.2207,-33.355225,172.83496,-25.841797,96.71338,36.029297,105.06473,-1.7819824,28.894043
116,160.57983,-16.176025,168.08887,-25.986328,74.13135,17.0542,37.55015,-45.51413,-22.917725
117,147.86865,-26.763184,143.71387,-44.92578,47.01184,-12.697754,-21.660412,-96.704285,-70.20166
118,155.07886,-20.918701,166.86816,-26.439453,87.89172,39.944336,64.06337,-25.84851,4.3740234
119,133.22632,-30.416016,165.64941,-23.199219,105.83435,47.90918,127.727234,19.33374,51.176514
120,133.87427,-34.65674,164.23145,-8.253906,107.809326,61.284668,125.29129,19.545746,51.97998
121,142.94116,-26.113037,151.69824,-13.848633,86.32788,48.27588,66.08766,-25.324982,2.8034668
122,142.60645,-22.370117,156.98145,-29.581055,73.023926,19.32373,25.238201,-57.359222,-29.97754
123,157.79321,-4.085449,167.78027,-17.964844,73.320435,12.474121,34.215305,-54.057983,-23.056396
124,148.42188,-10.801758,172.8789,-1.6523438,84.2146,37.74951,73.88426,-29.619965,8.190674
125,141.05249,-23.000977,161.46875,-5.4492188,93.46484,55.05664,90.08455,-11.209137,21.39624
126,143.6543,-14.692383,163.23242,-10.265625,97.17566,60.799316,76.25049,-15.593628,10.489014
127,136.71704,-21.588623,159.6123,-22.841797,96.30115,43.394043,76.77815,-21.058777,10.168701
128,135.99219,-17.286377,166.28906,-16.667969,91.5426,16.512695,82.385635,-29.790619,4.996338
129,150.36401,-7.7177734,165.9668,-11.813477,71.44922,-2.496582,46.98189,-55.66931,-29.924072
130,156.09912,-9.224121,170.81836,-10.829102,74.075195,23.46875,29.3205,-51.81134,-34.311035
131,144.91699,-13.782715,166.25098,-6.3154297,92.513794,55.45215,63.559933,-22.921753,1.7900391
132,135.05005,-13.986084,154.35742,-11.874023,90.24573,53.365723,89.87369,-13.07132,23.53418
133,133.56226,-18.55249,157.4668,-6.9248047,95.60181,47.401367,105.515625,-10.839264,25.001953
134,119.923096,-36.470947,139.40039,-19.855469,79.14575,23.882812,59.018887,-47.60608,-17.578613
135,133.01001,-27.564209,150.37207,-19.901367,77.352905,9.961914,24.620129,-56.65674,-38.159668
136,151.4397,2.4821777,161.27734,-1.2802734,83.51782,26.973145,48.030727,-34.823883,-12.454346
137,155.82788,4.2717285,176.51465,12.5625,105.17273,58.916504,104.155396,1.1550903,34.085693
138,151.66113,-0.7348633,163.00488,13.4296875,102.893555,66.86426,109.55028,1.7463379,35.924316
139,148.98657,-7.2644043,156.0293,11.206055,94.39502,68.433105,71.873474,-22.588257,12.507568
140,134.7981,-16.281982,154.02148,-3.5761719,96.15112,56.465332,57.75749,-29.952515,-4.1828613
141,118.59497,-24.425781,153.73438,-15.30957,93.460815,27.80957,74.251724,-22.510315,2.659912
